approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2026-05-21T17:20:11+00:00	8334578592		405-7201754-2815510	CustomerReturn	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	332.04	332.04	1	0	1		
2026-05-21T14:08:54+00:00	8334025042		407-5834722-0972320	CustomerReturn	1140034	X001WWIYG5	B0CP1XHDTC	Cubelelo Drift Gear 3x3 Tiled Black Puzzle - Unique Gear Mechanism Speedcube for Enthusiasts & Beginners | Durable, Smooth-Turning, and Visually Striking 3x3 Magic Cube for Kid	NewItem	INR	109.62	109.62	1	0	1		
2026-05-21T12:54:51+00:00	8333248612			Damaged_Warehouse	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	12.20	12.20	1	0	1		
2026-05-21T12:54:50+00:00	8332986052			Damaged_Warehouse	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	12.20	12.20	1	0	1		
2026-05-21T12:46:59+00:00	8332852082		402-3863582-9605960	CustomerReturn	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	331.08	331.08	1	0	1		
2026-05-21T11:36:18+00:00	8332493402		406-0601075-4713917	CustomerServiceIssue	CLB0502	X001VZMI15	B0CL3HR7YS	Cubelelo Drift Warrior 3x3 & Premium Cube Lubricant Combo | Speed Cube Set for Fast, Smooth, Professional Solving | Ultimate Kit for All Your Speedcubing Needs Multicolor for Kids, Adults All Ages	NewItem	INR	12.40	12.40	1	0	1		
2026-05-21T11:01:24+00:00	8332764442		408-7442358-7270734	CustomerServiceIssue	1030400	X0012WM1NR	B07XPNC385	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	NewItem	INR	88.27	88.27	1	0	1		
2026-05-21T10:48:04+00:00	8332068072		404-3746116-9952324	CustomerReturn	1040300	X001G4QY25	B09HH8XQ14	Cubelelo Drift 4x4 (Black) Speedcube | Challenging Brain Teaser Puzzle Toy for Kids 7-14 Years Old Boys Girls & Adults All Ages | Fast Speed Cube for Intermediate and Advanced Cubers	NewItem	INR	18.94	18.94	1	0	1		
2026-05-21T05:06:31+00:00	8330670232		171-8645078-4305946	CustomerReturn	1030400	X0012WM1NR	B07XPNC385	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	NewItem	INR	88.28	88.28	1	0	1		
2026-05-21T03:25:33+00:00	8331265632		406-3223837-1058711	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	98.74	98.74	1	0	1		
