request-date	order-id	order-source	order-type	service-speed	order-status	last-updated-date	sku	fnsku	disposition	requested-quantity	cancelled-quantity	disposed-quantity	shipped-quantity	in-process-quantity	removal-fee	currency
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1030478	X001HYK0PL	Unsellable	1	0		0	1		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1630201	X001I5SK8D	Unsellable	2	0		0	2		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1280100a	X001LHLHUV	Unsellable	2	0		0	2		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1280600_EAN	X001PEDWDF	Unsellable	2	0		0	2		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1460501	X001VLOAKL	Unsellable	1	0		0	1		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1460520	X001VZFWNB	Unsellable	1	0		0	1		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1140034	X001WWIYG5	Unsellable	1	0		0	1		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1290300	X00239RFKR	Unsellable	1	0		0	1		
2026-05-22T10:34:12+02:00	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T18:54:42+02:00	1630210	X00262W227	Unsellable	1	0		0	1		
2026-05-22T10:34:02+02:00	Xq5m8x9932	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T19:44:17+02:00	1460553	X001WPZI9N	Unsellable	1	0		0	1		
2026-05-22T10:34:02+02:00	Xq5m8x9932	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-22T19:44:17+02:00	1290300	X00239RFKR	Unsellable	1	0		0	1		
2026-05-22T10:33:52+02:00	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-24T12:14:09+02:00	1150100	X001F0EEEF	Unsellable	1	0		1	0	11.80	INR
2026-05-22T10:33:52+02:00	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-24T12:14:09+02:00	1050200	X001GM0XER	Unsellable	1	0		1	0	11.80	INR
