request-date	order-id	order-source	order-type	service-speed	order-status	last-updated-date	sku	fnsku	disposition	requested-quantity	cancelled-quantity	disposed-quantity	shipped-quantity	in-process-quantity	removal-fee	currency
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1030500	X0018CDFL3	Unsellable	1	0		0	1		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1040300	X001G4QY25	Unsellable	3	0		0	3		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1050200	X001GM0XER	Unsellable	1	0		0	1		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1130100	X001GMABSF	Unsellable	2	0		0	2		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1630201	X001I5SK8D	Unsellable	3	0		0	3		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1060600	X001JJ1BL1	Unsellable	1	0		0	1		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1280100a	X001LHLHUV	Unsellable	1	0		0	1		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1280600_EAN	X001PEDWDF	Unsellable	2	0		0	2		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1460503	X001VFXJDV	Unsellable	2	0		0	2		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1460501	X001VLOAKL	Unsellable	2	0		0	2		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1290300	X00239RFKR	Unsellable	3	0		0	3		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1630210	X00262W227	Unsellable	1	0		0	1		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1030603	X0027JJ8K3	Unsellable	1	0		0	1		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1030604	X0027JJHDB	Unsellable	3	0		0	3		
2026-06-08T14:22:02+05:30	Xq688P9840	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:48:25+05:30	1030300_EAN	X002C88WLZ	Unsellable	1	0		0	1		
2026-06-08T14:21:52+05:30	Xq688P9839	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-06-08T18:09:26+05:30	1460553	X001WPZI9N	Unsellable	1	1		0	0		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1120100	X0019BU32H	Unsellable	2	0		0	2		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1020200	X0019BU39P	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1280100a	X001LHLHUV	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1030700_EAN	X001P8LWWT	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1310036_EAN	X001PWQJFP	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1460553	X001WPZI9N	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1460577	X00232KSTT	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	CLB0503	X0025QFMUN	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1630210	X00262W227	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1030604	X0027JJHDB	Unsellable	1	0		0	1		
2026-06-08T14:21:43+05:30	Xq688P9838	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T18:10:19+05:30	1030300_EAN	X002C88WLZ	Unsellable	3	0		0	3		
2026-06-08T14:21:34+05:30	Xq688P9837	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:36:53+05:30	1030400	X0012WM1NR	Unsellable	1	0		0	1		
2026-06-08T14:21:34+05:30	Xq688P9837	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:36:53+05:30	1120034	X0016NVO3P	Unsellable	1	0		0	1		
2026-06-08T14:21:34+05:30	Xq688P9837	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:36:53+05:30	1460521	X001VZFQYB	Unsellable	1	0		0	1		
2026-06-08T14:21:34+05:30	Xq688P9837	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-06-08T17:36:53+05:30	CLB0502	X001VZMI15	Unsellable	1	0		0	1		
