return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	license-plate-number	customer-comments
2026-05-16T08:15:42+00:00	407-3314918-8770726	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R82532756	
2026-05-16T08:11:50+00:00	404-0730503-6589116	1040300	B09HH8XQ14	X001G4QY25	Cubelelo Drift 4x4 (Black) Speedcube | Challenging Brain Teaser Puzzle Toy for Kids 7-14 Years Old Boys Girls & Adults All Ages | Fast Speed Cube for Intermediate and Advanced Cubers	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R83950994	
2026-05-16T08:10:50+00:00	406-8925764-3405154	1460501	B08XK25RRF	X001VLOAKL	Cubelelo Drift 2x2 & 3x3 Cube Gift Box Combo | 2-in-1 Puzzle Toy Game Set for Children Kids & Adults Ages 4 5 6 & Above | Double the Challenge, Twice the Fun | Ultimate Value Saver Combo	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6483913	
2026-05-16T07:58:24+00:00	407-8185992-8250725	1630222	B0GH18NXXG	X002HPDYRF	Cubelelo Drift Magnetic Tangram Puzzle | with Strong Magnets, Wooden Pieces & Bold Colors | Toys for 5-10 Years Old Boys Girls & Adults | Travel Friendly, Educational Toy for Return & Birthday Gifts	1	BOM4	SELLABLE	MISSING_PARTS	LPNBOM4N40114695	
2026-05-16T07:44:32+00:00	403-9581916-5700357	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BLR5	DEFECTIVE	DAMAGED_BY_FC	LPNBLR5P4885624	Damaged
2026-05-16T07:35:29+00:00	404-7019532-2600336	1460577	B0D9NW55MK	X00232KSTT	Cubelelo Drift 2x2 with Cube Lubricant and Stand Combo | High-Performance Speed Cube | Smooth Turning & Durable | Ideal for All Ages	1	BOM4	SELLABLE	UNDELIVERABLE_REFUSED	LPNBOM4N40128406	
2026-05-16T07:18:58+00:00	404-5097080-2091535	1460520	B0CGNSKWFN	X001VZFWNB	Cubelelo Kid Drift 2X2 Silver Mirror & 3X3 Silver Mirror Gift Box | Premium Mirror Cube Set With Unique Reflective Design | Challenging Shape-Shifting Puzzles For Advanced Cubers & Beginners	1	BOM4	CUSTOMER_DAMAGED	NO_REASON_GIVEN	LPNBOM4N39927061	
2026-05-16T06:59:49+00:00	407-9723053-6645133	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	BOM4	SELLABLE	UNDELIVERABLE_REFUSED	LPNBOM4N39942102	
2026-05-16T06:28:51+00:00	407-8627347-4000334	1630201	B09QMNCWYG	X001I5SK8D	Cubelelo Drift Infinity Cube (Green) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	DEL2	CUSTOMER_DAMAGED	DEFECTIVE	LPNDEL2R82530352	
2026-05-16T05:48:42+00:00	406-4436304-3278726	1630201	B09QMNCWYG	X001I5SK8D	Cubelelo Drift Infinity Cube (Green) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	CUSTOMER_DAMAGED	QUALITY_UNACCEPTABLE	LPNBLR5P4931945	
